work_order_id,payment_sequence,payment_method,paid_date,payment_amount
WO-000001,1,bank_transfer,2017-02-04,791.27
WO-000002,1,bank_transfer,2017-02-26,2803.5
WO-000003,1,purchase_order,2017-02-10,363.62
WO-000004,1,bank_transfer,2017-01-17,1054.35
WO-000005,1,bank_transfer,2017-03-28,700.13
WO-000006,1,bank_transfer,2017-03-23,312.62
WO-000006,2,bank_transfer,2017-04-12,378.07
WO-000006,3,corporate_card,2017-05-02,406.38
WO-000007,1,bank_transfer,2017-02-16,729.98
WO-000008,1,purchase_order,2017-03-15,3090.76
WO-000009,1,bank_transfer,2017-02-10,393.73
WO-000010,1,purchase_order,2017-03-02,564.12
WO-000011,1,bank_transfer,2017-02-03,998.78
WO-000012,1,corporate_card,2017-03-19,774.1
WO-000013,1,purchase_order,2017-02-14,4156.35
WO-000014,1,bank_transfer,2017-02-03,344.34
WO-000015,1,bank_transfer,2017-02-08,1348.14
WO-000016,1,bank_transfer,2017-03-05,321.38
WO-000016,2,bank_transfer,2017-04-14,445.69
WO-000017,1,purchase_order,2017-04-02,1696.38
WO-000018,1,bank_transfer,2017-03-02,817.94
WO-000019,1,bank_transfer,2017-02-23,1437.57
WO-000020,1,corporate_card,2017-01-30,2143.3
WO-000021,1,bank_transfer,2017-01-24,485.06
WO-000022,1,corporate_card,2017-03-14,2991.4
WO-000023,1,purchase_order,2017-03-08,448.92
WO-000024,1,purchase_order,2017-02-15,484.17
WO-000025,1,bank_transfer,2017-01-29,338.15
WO-000026,1,bank_transfer,2017-01-31,806.72
WO-000027,1,bank_transfer,2017-02-06,1145.13
WO-000028,1,bank_transfer,2017-03-06,1454.13
WO-000029,1,purchase_order,2017-02-23,1305.31
WO-000030,1,purchase_order,2017-03-08,548.0
WO-000031,1,bank_transfer,2017-02-17,578.52
WO-000032,1,purchase_order,2017-02-16,1032.87
WO-000033,1,bank_transfer,2017-03-08,1992.02
WO-000036,1,bank_transfer,2017-02-15,1047.53
WO-000037,1,purchase_order,2017-02-09,419.26
