site_id,client_id,site_name,site_type,zip_code_prefix
ST-0001,CL-0001,Cragton Warehouse,warehouse,229
ST-0002,CL-0001,Norbridge Plant,plant,162
ST-0003,CL-0001,Norbridge Warehouse,warehouse,164
ST-0004,CL-0001,Trewick Plant,plant,324
ST-0005,CL-0001,Garcrest Plant,plant,214
ST-0006,CL-0001,Trewick Plant,plant,307
ST-0007,CL-0002,Corfield Office,office,381
ST-0008,CL-0002,Yardale Plant,plant,369
ST-0009,CL-0003,Stanton Plant,plant,210
ST-0010,CL-0003,Garton Warehouse,warehouse,263
ST-0011,CL-0004,Alddale Office,office,320
ST-0012,CL-0004,Pelport Warehouse,warehouse,152
ST-0013,CL-0004,Aldport Warehouse,warehouse,370
ST-0014,CL-0005,Corford Plant,plant,190
ST-0015,CL-0005,Dunton Warehouse,warehouse,278
ST-0016,CL-0005,Yardale Plant,plant,360
ST-0017,CL-0006,Norhaven Warehouse,warehouse,156
ST-0018,CL-0006,Cragford Plant,plant,354
ST-0019,CL-0006,Norbridge Warehouse,warehouse,164
ST-0020,CL-0006,Dunton Office,office,296
ST-0021,CL-0006,Norhaven Warehouse,warehouse,156
ST-0022,CL-0006,Tremont Plant,plant,375
ST-0023,CL-0006,Corbridge Warehouse,warehouse,241
ST-0024,CL-0006,Birchbridge Warehouse,warehouse,122
ST-0025,CL-0006,Corford Plant,plant,190
ST-0026,CL-0006,Tremont Warehouse,warehouse,375
ST-0027,CL-0006,Trehaven Warehouse,warehouse,319
ST-0028,CL-0006,Wickwick Plant,plant,306
ST-0029,CL-0006,Stanfield Warehouse,warehouse,115
ST-0030,CL-0006,Norhaven Warehouse,warehouse,156
ST-0031,CL-0007,Corbridge Plant,plant,234
ST-0032,CL-0007,Aldport Warehouse,warehouse,370
ST-0033,CL-0008,Fenwick Plant,plant,376
ST-0034,CL-0009,Corbridge Plant,plant,241
ST-0035,CL-0009,Birchbridge Plant,plant,122
ST-0036,CL-0009,Linport Warehouse,warehouse,176
ST-0037,CL-0009,Dunhaven Plant,plant,299
ST-0038,CL-0009,Pelport Warehouse,warehouse,174
ST-0039,CL-0009,Dunton Warehouse,warehouse,296
ST-0040,CL-0010,Wickhaven Office,office,357
ST-0041,CL-0010,Duncrest Warehouse,warehouse,393
ST-0042,CL-0011,Dunhaven Plant,plant,299
ST-0043,CL-0011,Pelport Plant,plant,174
ST-0044,CL-0011,Trewick Warehouse,warehouse,307
ST-0045,CL-0012,Marwick Plant,plant,197
ST-0046,CL-0012,Yarport Warehouse,warehouse,155
ST-0047,CL-0012,Norhaven Office,office,156
ST-0048,CL-0012,Duncrest Warehouse,warehouse,391
ST-0049,CL-0012,Stanfield Office,office,115
ST-0050,CL-0012,Fenford Plant,plant,260
ST-0051,CL-0012,Trehaven Plant,plant,319
ST-0052,CL-0012,Aldbridge Warehouse,warehouse,224
ST-0053,CL-0012,Garcrest Plant,plant,214
ST-0054,CL-0012,Linport Warehouse,warehouse,175
ST-0055,CL-0012,Fenwick Office,office,376
ST-0056,CL-0013,Garton Warehouse,warehouse,262
ST-0057,CL-0013,Elmfield Office,office,312
ST-0058,CL-0013,Corford Plant,plant,182
ST-0059,CL-0013,Marhaven Plant,plant,133
