work_order_id,response_sequence,responded_date,satisfaction_score
WO-000002,1,2017-01-12,8
WO-000003,1,2017-01-09,9
WO-000004,1,2017-01-22,9
WO-000005,1,2017-02-18,6
WO-000006,1,2017-01-25,4
WO-000006,2,2017-02-13,7
WO-000008,1,2017-01-30,9
WO-000011,1,2017-01-29,7
WO-000012,1,2017-01-25,9
WO-000013,1,2017-01-18,9
WO-000014,1,2017-01-31,9
WO-000014,2,2017-02-11,8
WO-000016,1,2017-02-09,5
WO-000018,1,2017-02-01,5
WO-000018,2,2017-02-26,9
WO-000020,1,2017-01-24,7
WO-000021,1,2017-01-18,8
WO-000023,1,2017-01-21,6
WO-000024,1,2017-01-27,10
WO-000029,1,2017-01-15,7
WO-000031,1,2017-01-30,9
WO-000032,1,2017-01-24,7
WO-000033,1,2017-01-21,6
WO-000037,1,2017-01-30,10
WO-000040,1,2017-01-26,10
WO-000042,1,2017-01-12,8
WO-000042,2,2017-02-09,9
WO-000047,1,2017-01-26,7
WO-000048,1,2017-02-18,5
WO-000048,2,2017-03-02,9
WO-000049,1,2017-01-24,8
WO-000050,1,2017-01-27,6
WO-000051,1,2017-01-26,8
WO-000053,1,2017-01-13,9
WO-000055,1,2017-02-04,10
WO-000056,1,2017-02-06,5
WO-000058,1,2017-01-21,6
WO-000059,1,2017-02-02,7
WO-000060,1,2017-02-09,4
WO-000060,2,2017-03-01,8
WO-000062,1,2017-01-30,8
WO-000062,2,2017-02-25,6
WO-000064,1,2017-01-22,9
WO-000066,1,2017-01-21,10
WO-000067,1,2017-01-29,9
WO-000070,1,2017-01-22,10
WO-000072,1,2017-01-22,6
WO-000074,1,2017-01-30,6
WO-000080,1,2017-01-24,10
WO-000081,1,2017-01-30,6
WO-000083,1,2017-02-06,7
WO-000084,1,2017-02-07,5
WO-000084,2,2017-03-03,9
WO-000086,1,2017-02-08,10
WO-000088,1,2017-01-29,8
WO-000089,1,2017-01-17,8
WO-000089,2,2017-02-05,8
WO-000091,1,2017-01-30,6
WO-000096,1,2017-01-20,7
WO-000097,1,2017-01-24,7
WO-000097,2,2017-02-08,7
WO-000098,1,2017-01-23,10
WO-000102,1,2017-02-07,6
WO-000103,1,2017-02-10,5
WO-000103,2,2017-02-27,6
WO-000106,1,2017-01-26,8
WO-000107,1,2017-01-24,6
WO-000108,1,2017-02-12,8
WO-000108,2,2017-03-10,8
WO-000114,1,2017-01-23,7
WO-000115,1,2017-02-07,10
WO-000117,1,2017-01-29,9
WO-000119,1,2017-02-09,2
WO-000119,2,2017-03-03,6
WO-000120,1,2017-02-07,7
WO-000123,1,2017-02-02,7
WO-000126,1,2017-01-30,9
WO-000126,2,2017-02-09,9
WO-000128,1,2017-02-08,6
WO-000129,1,2017-02-12,8
WO-000130,1,2017-02-01,5
WO-000130,2,2017-02-20,10
WO-000134,1,2017-02-11,10
WO-000137,1,2017-02-03,8
WO-000139,1,2017-02-10,8
WO-000139,2,2017-03-03,7
WO-000140,1,2017-02-13,8
WO-000140,2,2017-03-03,9
WO-000148,1,2017-02-07,2
WO-000148,2,2017-03-03,6
WO-000149,1,2017-02-07,8
WO-000150,1,2017-02-02,8
WO-000150,2,2017-02-14,8
WO-000152,1,2017-02-07,8
WO-000153,1,2017-01-30,10
WO-000159,1,2017-01-29,8
WO-000163,1,2017-02-06,8
WO-000164,1,2017-02-03,10
WO-000165,1,2017-02-07,8
WO-000167,1,2017-02-09,8
WO-000168,1,2017-02-09,5
WO-000168,2,2017-02-25,8
WO-000170,1,2017-02-04,6
WO-000171,1,2017-02-16,9
WO-000174,1,2017-02-08,7
WO-000175,1,2017-02-13,4
WO-000177,1,2017-02-05,9
WO-000178,1,2017-02-16,10
WO-000181,1,2017-02-12,9
WO-000183,1,2017-02-06,6
WO-000185,1,2017-02-10,8
WO-000187,1,2017-02-04,9
WO-000189,1,2017-02-08,6
WO-000190,1,2017-02-09,10
WO-000192,1,2017-02-11,8
WO-000193,1,2017-02-10,8
WO-000194,1,2017-02-12,9
WO-000195,1,2017-02-25,10
WO-000197,1,2017-02-08,9
WO-000198,1,2017-02-03,9
WO-000201,1,2017-02-19,7
WO-000204,1,2017-02-13,8
WO-000205,1,2017-02-13,7
WO-000207,1,2017-02-20,10
WO-000209,1,2017-02-20,8
WO-000210,1,2017-02-09,10
WO-000211,1,2017-02-16,7
WO-000213,1,2017-02-27,8
WO-000215,1,2017-02-05,6
WO-000217,1,2017-02-11,6
WO-000218,1,2017-02-22,5
WO-000218,2,2017-03-10,7
WO-000221,1,2017-02-11,8
WO-000222,1,2017-02-18,5
WO-000222,2,2017-03-13,9
WO-000223,1,2017-02-22,9
WO-000224,1,2017-02-19,6
WO-000225,1,2017-02-23,7
WO-000228,1,2017-02-24,8
WO-000229,1,2017-02-14,9
WO-000231,1,2017-02-16,8
WO-000233,1,2017-02-25,7
WO-000237,1,2017-02-10,9
WO-000238,1,2017-03-07,2
WO-000238,2,2017-03-31,6
WO-000239,1,2017-03-05,7
WO-000239,2,2017-03-16,6
WO-000240,1,2017-02-19,8
WO-000240,2,2017-03-03,10
WO-000241,1,2017-02-26,7
WO-000243,1,2017-03-05,10
WO-000244,1,2017-02-22,5
WO-000244,2,2017-03-11,10
WO-000245,1,2017-02-14,9
WO-000247,1,2017-02-26,6
WO-000250,1,2017-02-25,7
WO-000251,1,2017-02-21,5
WO-000251,2,2017-03-11,9
WO-000252,1,2017-03-02,7
WO-000254,1,2017-03-10,7
WO-000255,1,2017-02-22,5
WO-000255,2,2017-03-19,7
WO-000257,1,2017-02-26,8
WO-000258,1,2017-02-27,8
WO-000259,1,2017-02-27,6
WO-000260,1,2017-02-17,8
WO-000262,1,2017-02-15,9
WO-000264,1,2017-02-15,7
WO-000265,1,2017-03-05,7
WO-000267,1,2017-02-21,7
WO-000269,1,2017-02-15,6
WO-000270,1,2017-02-22,6
WO-000271,1,2017-03-06,9
WO-000273,1,2017-02-27,9
WO-000274,1,2017-03-11,10
