client_id,client_name,industry,contract_tier
CL-0001,Dynamo Works,textiles,premium
CL-0002,Drayton Foods,logistics,standard
CL-0003,Keystone Packaging,chemicals,standard
CL-0004,Cobalt Processing,manufacturing,premium
CL-0005,Anvil Manufacturing,logistics,premium
CL-0006,Foundry Materials,textiles,enterprise
CL-0007,Wexford Processing,packaging,standard
CL-0008,Crucible Packaging,food_processing,standard
CL-0009,Wexford Foods,packaging,premium
CL-0010,Dynamo Logistics,food_processing,standard
CL-0011,Helix Foods,packaging,standard
CL-0012,Boreal Components,food_processing,enterprise
CL-0013,Lattice Components,automotive,premium
CL-0014,Zephyr Logistics,logistics,enterprise
CL-0015,Wexford Manufacturing,logistics,enterprise
CL-0016,Keystone Works,packaging,premium
CL-0017,Apex Processing,packaging,standard
CL-0018,Granite Foods,food_processing,premium
CL-0019,Meridian Processing,textiles,premium
CL-0020,Boreal Fabrication,pharmaceuticals,standard
CL-0021,Keystone Components,pharmaceuticals,standard
CL-0022,Solstice Materials,packaging,premium
CL-0023,Cobalt Components,food_processing,standard
CL-0024,Granite Components,logistics,premium
CL-0025,Praxis Packaging,manufacturing,standard
CL-0026,Anvil Foods,pharmaceuticals,standard
CL-0027,Tidewater Processing,logistics,standard
CL-0028,Bastion Logistics,automotive,standard
CL-0029,Keystone Foods,automotive,standard
CL-0030,Northgate Industries,textiles,enterprise
CL-0031,Dynamo Processing,pharmaceuticals,standard
CL-0032,Juniper Packaging,packaging,enterprise
CL-0033,Foundry Components,manufacturing,standard
CL-0034,Quarry Components,logistics,standard
CL-0035,Bastion Processing,food_processing,standard
CL-0036,Ridgeline Foods,packaging,premium
CL-0037,Northgate Components,logistics,standard
CL-0038,Solstice Processing,chemicals,enterprise
CL-0039,Anvil Logistics,packaging,premium
CL-0040,Ember Industries,logistics,enterprise
CL-0041,Yieldstone Components,chemicals,standard
CL-0042,Tidewater Materials,food_processing,standard
CL-0043,Foundry Manufacturing,textiles,premium
CL-0044,Quarry Packaging,chemicals,standard
CL-0045,Northgate Packaging,logistics,premium
CL-0046,Yieldstone Works,chemicals,enterprise
CL-0047,Ember Packaging,textiles,standard
CL-0048,Solstice Manufacturing,pharmaceuticals,standard
CL-0049,Vantage Manufacturing,packaging,standard
CL-0050,Zephyr Packaging,chemicals,premium
CL-0051,Keystone Processing,chemicals,standard
CL-0052,Wexford Components,packaging,standard
CL-0053,Juniper Materials,pharmaceuticals,premium
CL-0054,Vantage Logistics,food_processing,standard
CL-0055,Wexford Packaging,manufacturing,premium
CL-0056,Meridian Manufacturing,logistics,premium
CL-0057,Meridian Fabrication,chemicals,standard
CL-0058,Apex Components,manufacturing,premium
CL-0059,Ridgeline Packaging,pharmaceuticals,enterprise
CL-0060,Praxis Industries,chemicals,standard
CL-0061,Granite Packaging,food_processing,enterprise
CL-0062,Bastion Fabrication,packaging,standard
CL-0063,Helix Materials,automotive,enterprise
CL-0064,Juniper Components,chemicals,standard
CL-0065,Zephyr Works,manufacturing,premium
CL-0066,Ironwood Works,packaging,standard
CL-0067,Zephyr Industries,textiles,premium
CL-0068,Yieldstone Processing,textiles,standard
CL-0069,Ironwood Foods,food_processing,enterprise
CL-0070,Boreal Materials,logistics,premium
CL-0071,Granite Fabrication,automotive,standard
CL-0072,Ember Manufacturing,chemicals,premium
CL-0073,Everline Packaging,packaging,enterprise
CL-0074,Umber Fabrication,automotive,standard
CL-0075,Apex Industries,chemicals,enterprise
CL-0076,Cobalt Materials,packaging,standard
CL-0077,Vantage Industries,packaging,premium
CL-0078,Vantage Materials,manufacturing,enterprise
CL-0079,Crucible Components,packaging,standard
CL-0080,Quarry Logistics,pharmaceuticals,standard
CL-0081,Yieldstone Packaging,manufacturing,standard
CL-0082,Juniper Fabrication,manufacturing,premium
CL-0083,Cobalt Fabrication,pharmaceuticals,standard
CL-0084,Oakum Manufacturing,textiles,standard
CL-0085,Drayton Industries,pharmaceuticals,standard
CL-0086,Solstice Industries,automotive,enterprise
CL-0087,Juniper Logistics,automotive,premium
CL-0088,Vantage Processing,automotive,standard
CL-0089,Helix Manufacturing,logistics,premium
CL-0090,Juniper Processing,food_processing,premium
CL-0091,Umber Works,logistics,standard
CL-0092,Drayton Manufacturing,packaging,standard
CL-0093,Bastion Packaging,logistics,premium
CL-0094,Umber Packaging,chemicals,premium
CL-0095,Cobalt Industries,textiles,premium
CL-0096,Apex Materials,manufacturing,enterprise
CL-0097,Yieldstone Foods,pharmaceuticals,premium
CL-0098,Drayton Components,food_processing,standard
CL-0099,Granite Industries,chemicals,standard
CL-0100,Tidewater Manufacturing,food_processing,standard
CL-0101,Everline Materials,pharmaceuticals,enterprise
CL-0102,Cobalt Foods,pharmaceuticals,standard
CL-0103,Drayton Packaging,logistics,standard
CL-0104,Solstice Works,automotive,standard
CL-0105,Boreal Industries,textiles,enterprise
CL-0106,Lattice Manufacturing,automotive,premium
CL-0107,Umber Industries,pharmaceuticals,enterprise
CL-0108,Tidewater Industries,food_processing,standard
CL-0109,Tidewater Works,packaging,standard
CL-0110,Northgate Foods,automotive,premium
CL-0111,Anvil Components,food_processing,standard
CL-0112,Granite Logistics,logistics,standard
CL-0113,Keystone Logistics,chemicals,premium
CL-0114,Cobalt Packaging,automotive,premium
CL-0115,Crucible Foods,textiles,standard
CL-0116,Lattice Logistics,textiles,enterprise
CL-0117,Bastion Industries,textiles,standard
CL-0118,Boreal Foods,pharmaceuticals,premium
CL-0119,Ridgeline Manufacturing,food_processing,premium
CL-0120,Solstice Logistics,chemicals,premium
