equipment_unit_id,site_id,equipment_category,serial_number,installed_date
EQ-00001,ST-0001,control_panel,SN-CON-98188,2012-12-04
EQ-00002,ST-0001,compressor,SN-COM-44185,2012-10-13
EQ-00003,ST-0001,chiller,SN-CHI-12494,2015-09-01
EQ-00004,ST-0001,compressor,SN-COM-90607,2007-09-07
EQ-00005,ST-0001,hvac_unit,SN-HVA-10836,2007-07-25
EQ-00006,ST-0001,switchgear,SN-SWI-81415,2013-04-26
EQ-00007,ST-0001,industrial_pump,SN-IND-15231,2007-10-16
EQ-00008,ST-0001,furnace,SN-FUR-46773,2014-02-06
EQ-00009,ST-0001,conveyor_system,SN-CON-33773,2009-11-02
EQ-00010,ST-0001,switchgear,SN-SWI-24165,2007-05-16
EQ-00011,ST-0002,conveyor_system,SN-CON-78959,2018-03-12
EQ-00012,ST-0002,storage_tank,SN-STO-64656,2010-05-17
EQ-00013,ST-0003,boiler,SN-BOI-86874,2011-03-03
EQ-00014,ST-0003,industrial_pump,SN-IND-61668,2006-11-16
EQ-00015,ST-0003,control_panel,SN-CON-18784,2015-12-09
EQ-00016,ST-0003,hvac_unit,SN-HVA-20265,2014-01-27
EQ-00017,ST-0003,hvac_unit,SN-HVA-23409,2013-05-18
EQ-00018,ST-0003,hvac_unit,SN-HVA-14535,2005-10-16
EQ-00019,ST-0003,boiler,SN-BOI-25965,2006-08-17
EQ-00020,ST-0003,conveyor_system,SN-CON-49577,2015-09-11
EQ-00021,ST-0003,conveyor_system,SN-CON-80980,2008-04-07
EQ-00022,ST-0004,storage_tank,SN-STO-58001,2012-03-26
EQ-00023,ST-0004,industrial_pump,SN-IND-66518,2014-10-10
EQ-00024,ST-0004,conveyor_system,SN-CON-64072,2013-08-14
EQ-00025,ST-0004,control_panel,SN-CON-14346,2009-12-08
EQ-00026,ST-0004,control_panel,SN-CON-88133,2014-10-23
EQ-00027,ST-0004,compressor,SN-COM-10502,2015-10-20
EQ-00028,ST-0004,compressor,SN-COM-61434,2016-08-15
EQ-00029,ST-0004,conveyor_system,SN-CON-45670,2016-09-20
EQ-00030,ST-0004,hvac_unit,SN-HVA-59604,2018-01-06
EQ-00031,ST-0004,conveyor_system,SN-CON-59994,2012-11-03
EQ-00032,ST-0004,switchgear,SN-SWI-96208,2012-01-01
EQ-00033,ST-0005,compressor,SN-COM-57692,2017-11-10
EQ-00034,ST-0005,hvac_unit,SN-HVA-36598,2015-11-16
EQ-00035,ST-0005,switchgear,SN-SWI-96969,2011-01-14
EQ-00036,ST-0005,furnace,SN-FUR-83566,2018-01-19
EQ-00037,ST-0005,conveyor_system,SN-CON-74259,2018-02-27
EQ-00038,ST-0005,conveyor_system,SN-CON-24356,2007-09-06
EQ-00039,ST-0005,chiller,SN-CHI-55477,2005-01-11
EQ-00040,ST-0005,furnace,SN-FUR-66156,2015-03-15
EQ-00041,ST-0005,storage_tank,SN-STO-90996,2005-09-15
EQ-00042,ST-0005,boiler,SN-BOI-19895,2005-01-19
EQ-00043,ST-0006,industrial_pump,SN-IND-92496,2009-09-19
EQ-00044,ST-0006,furnace,SN-FUR-99856,2008-01-28
EQ-00045,ST-0006,industrial_pump,SN-IND-60912,2017-07-20
EQ-00046,ST-0006,hvac_unit,SN-HVA-64393,2014-10-19
EQ-00047,ST-0006,chiller,SN-CHI-67917,2011-05-03
EQ-00048,ST-0006,conveyor_system,SN-CON-94660,2010-03-15
EQ-00049,ST-0006,compressor,SN-COM-15089,2009-12-23
EQ-00050,ST-0006,control_panel,SN-CON-92570,2011-08-09
EQ-00051,ST-0006,furnace,SN-FUR-20743,2013-12-22
EQ-00052,ST-0006,hvac_unit,SN-HVA-46564,2012-01-27
EQ-00053,ST-0006,hvac_unit,SN-HVA-45792,2007-10-11
EQ-00054,ST-0007,control_panel,SN-CON-93395,2013-08-03
EQ-00055,ST-0007,storage_tank,SN-STO-90594,2009-03-27
EQ-00056,ST-0008,chiller,SN-CHI-30330,2015-05-02
EQ-00057,ST-0008,compressor,SN-COM-67125,2005-12-26
EQ-00058,ST-0008,furnace,SN-FUR-50494,2012-10-08
