zip_code_prefix,city,state
100,Treport,Northvale
101,Stanfield,Northvale
102,Birchbridge,Northvale
109,Treport,Northvale
111,Stanfield,Northvale
112,Marfield,Northvale
113,Stanfield,Northvale
114,Marfield,Northvale
115,Stanfield,Northvale
118,Marfield,Northvale
119,Marfield,Northvale
122,Birchbridge,Northvale
131,Linford,Caldera
132,Haleford,Caldera
133,Marhaven,Caldera
135,Linford,Caldera
137,Haleford,Caldera
138,Roshaven,Caldera
141,Roshaven,Caldera
143,Roswick,Caldera
145,Fenfield,Caldera
147,Haleford,Caldera
151,Yarport,Ostbrook
152,Pelport,Ostbrook
153,Yarport,Ostbrook
154,Norhaven,Ostbrook
155,Yarport,Ostbrook
156,Norhaven,Ostbrook
158,Norbridge,Ostbrook
162,Norbridge,Ostbrook
163,Norbridge,Ostbrook
164,Norbridge,Ostbrook
165,Pelport,Ostbrook
169,Norhaven,Ostbrook
172,Norhaven,Ostbrook
174,Pelport,Ostbrook
175,Linport,Veyland
176,Linport,Veyland
179,Elmwick,Veyland
180,Elmwick,Veyland
182,Corford,Veyland
184,Marton,Veyland
186,Corford,Veyland
189,Fenmont,Veyland
190,Corford,Veyland
194,Fenmont,Veyland
197,Marwick,Veyland
198,Linport,Veyland
199,Corford,Veyland
201,Yarhaven,Harrowfield
203,Stanton,Harrowfield
208,Garcrest,Harrowfield
210,Stanton,Harrowfield
214,Garcrest,Harrowfield
216,Garcrest,Harrowfield
219,Birchmont,Harrowfield
220,Garcrest,Harrowfield
223,Birchmont,Harrowfield
224,Aldbridge,Harrowfield
225,Corbridge,Duskmoor
226,Velport,Duskmoor
229,Cragton,Duskmoor
230,Corbridge,Duskmoor
231,Corbridge,Duskmoor
233,Velport,Duskmoor
234,Corbridge,Duskmoor
238,Velport,Duskmoor
241,Corbridge,Duskmoor
244,Velport,Duskmoor
245,Stanford,Duskmoor
247,Cragton,Duskmoor
251,Linbridge,Eastmere
252,Fendale,Eastmere
257,Bramfield,Eastmere
259,Garton,Eastmere
260,Fenford,Eastmere
262,Garton,Eastmere
263,Garton,Eastmere
264,Fenford,Eastmere
266,Fendale,Eastmere
268,Bramfield,Eastmere
272,Garton,Eastmere
273,Bramfield,Eastmere
276,Dunhaven,Quillan
278,Dunton,Quillan
279,Dunton,Quillan
280,Garwick,Quillan
281,Dunton,Quillan
284,Dunhaven,Quillan
293,Pelwick,Quillan
295,Dunhaven,Quillan
296,Dunton,Quillan
297,Pelwick,Quillan
298,Dunhaven,Quillan
299,Dunhaven,Quillan
301,Elmfield,Sablewood
306,Wickwick,Sablewood
307,Trewick,Sablewood
312,Elmfield,Sablewood
313,Elmfield,Sablewood
316,Wickwick,Sablewood
318,Alddale,Sablewood
319,Trehaven,Sablewood
320,Alddale,Sablewood
322,Wickwick,Sablewood
324,Trewick,Sablewood
326,Wickdale,Tarrindale
327,Mardale,Tarrindale
330,Halewick,Tarrindale
333,Mardale,Tarrindale
334,Mardale,Tarrindale
336,Halewick,Tarrindale
339,Halewick,Tarrindale
345,Halewick,Tarrindale
346,Velmont,Tarrindale
349,Mardale,Tarrindale
350,Brammont,Westhollow
354,Cragford,Westhollow
355,Wickhaven,Westhollow
357,Wickhaven,Westhollow
360,Yardale,Westhollow
362,Birchport,Westhollow
366,Cragford,Westhollow
368,Brammont,Westhollow
369,Yardale,Westhollow
370,Aldport,Westhollow
371,Wickhaven,Westhollow
374,Birchport,Westhollow
375,Tremont,Bryceland
376,Fenwick,Bryceland
378,Fenwick,Bryceland
379,Tremont,Bryceland
381,Corfield,Bryceland
384,Tremont,Bryceland
387,Corfield,Bryceland
391,Duncrest,Bryceland
393,Duncrest,Bryceland
394,Garhaven,Bryceland
398,Fenwick,Bryceland
