technician_id,depot_code,seniority_level
TC-001,DP-DSK,senior
TC-002,DP-NTV,senior
TC-003,DP-SBW,junior
TC-004,DP-NTV,senior
TC-005,DP-EMR,expert
TC-006,DP-VYL,senior
TC-007,DP-SBW,expert
TC-008,DP-DSK,senior
TC-009,DP-CLD,senior
TC-010,DP-EMR,senior
TC-011,DP-OSB,junior
TC-012,DP-TRD,junior
TC-013,DP-HRW,junior
TC-014,DP-EMR,senior
TC-015,DP-SBW,senior
TC-016,DP-QLN,junior
TC-017,DP-TRD,junior
TC-018,DP-DSK,junior
TC-019,DP-VYL,junior
TC-020,DP-DSK,senior
TC-021,DP-QLN,expert
TC-022,DP-VYL,senior
TC-023,DP-OSB,junior
TC-024,DP-TRD,junior
TC-025,DP-EMR,junior
TC-026,DP-HRW,junior
TC-027,DP-TRD,junior
TC-028,DP-WSH,junior
TC-029,DP-HRW,junior
TC-030,DP-VYL,junior
TC-031,DP-QLN,expert
TC-032,DP-SBW,junior
TC-033,DP-EMR,junior
TC-034,DP-TRD,junior
TC-035,DP-SBW,junior
TC-036,DP-HRW,expert
TC-037,DP-HRW,senior
TC-038,DP-HRW,junior
TC-039,DP-VYL,expert
TC-040,DP-CLD,senior
TC-041,DP-NTV,junior
TC-042,DP-VYL,senior
TC-043,DP-NTV,senior
TC-044,DP-OSB,junior
TC-045,DP-HRW,expert
TC-046,DP-CLD,expert
TC-047,DP-BRC,expert
TC-048,DP-TRD,expert
TC-049,DP-TRD,senior
TC-050,DP-NTV,expert
TC-051,DP-NTV,senior
TC-052,DP-TRD,expert
TC-053,DP-EMR,senior
TC-054,DP-SBW,senior
TC-055,DP-WSH,junior
TC-056,DP-DSK,junior
TC-057,DP-TRD,junior
TC-058,DP-TRD,senior
TC-059,DP-TRD,senior
TC-060,DP-NTV,expert
TC-061,DP-OSB,expert
TC-062,DP-EMR,expert
TC-063,DP-QLN,senior
TC-064,DP-QLN,expert
TC-065,DP-NTV,expert
TC-066,DP-VYL,junior
TC-067,DP-OSB,expert
TC-068,DP-QLN,junior
TC-069,DP-HRW,senior
TC-070,DP-EMR,junior
TC-071,DP-WSH,senior
TC-072,DP-HRW,senior
TC-073,DP-VYL,senior
TC-074,DP-DSK,senior
TC-075,DP-EMR,expert
TC-076,DP-EMR,expert
TC-077,DP-TRD,expert
TC-078,DP-VYL,expert
TC-079,DP-VYL,senior
TC-080,DP-OSB,junior
