work_order_id,line_number,line_kind,part_id,quantity,billed_hours,line_amount
WO-000001,1,PART,PT-0043,1,,154.06
WO-000001,2,PART,PT-0112,3,,269.33
WO-000001,3,LABOR,,,3.77,263.9
WO-000002,1,PART,PT-0174,2,,76.33
WO-000002,2,PART,PT-0081,3,,157.44
WO-000002,3,PART,PT-0106,1,,142.88
WO-000002,4,PART,PT-0152,1,,93.5
WO-000002,5,PART,PT-0105,2,,53.28
WO-000002,6,LABOR,,,15.09,912.95
WO-000002,7,LABOR,,,19.64,1188.22
WO-000003,1,PART,PT-0038,2,,29.06
WO-000003,2,PART,PT-0078,1,,21.86
WO-000003,3,LABOR,,,2.85,199.5
WO-000004,1,PART,PT-0108,1,,18.19
WO-000004,2,PART,PT-0038,1,,16.34
WO-000004,3,LABOR,,,7.07,427.74
WO-000004,4,LABOR,,,7.68,464.64
WO-000005,1,PART,PT-0148,4,,72.47
WO-000005,2,PART,PT-0089,2,,78.16
WO-000005,3,PART,PT-0056,1,,177.08
WO-000005,4,LABOR,,,4.61,253.55
WO-000006,1,PART,PT-0083,3,,332.56
WO-000006,2,PART,PT-0101,3,,133.12
WO-000006,3,PART,PT-0190,1,,27.67
WO-000006,4,LABOR,,,4.71,466.29
WO-000007,1,PART,PT-0042,1,,110.23
WO-000007,2,PART,PT-0029,1,,47.21
WO-000007,3,PART,PT-0153,2,,254.75
WO-000007,4,LABOR,,,4.05,222.75
WO-000008,1,PART,PT-0145,3,,93.92
WO-000008,2,PART,PT-0007,3,,1022.94
WO-000008,3,LABOR,,,26.75,1872.5
WO-000009,1,LABOR,,,3.0,231.0
WO-000010,1,PART,PT-0022,1,,87.19
WO-000010,2,PART,PT-0178,3,,69.1
WO-000010,3,PART,PT-0184,1,,32.76
WO-000010,4,LABOR,,,3.66,256.2
WO-000011,1,PART,PT-0133,1,,145.11
WO-000011,2,PART,PT-0158,4,,70.79
WO-000011,3,PART,PT-0132,4,,293.82
WO-000011,4,LABOR,,,4.45,400.5
WO-000012,1,PART,PT-0170,1,,22.84
WO-000012,2,PART,PT-0095,2,,63.27
WO-000012,3,LABOR,,,4.92,430.5
WO-000013,1,PART,PT-0068,2,,40.8
WO-000013,2,PART,PT-0005,1,,27.72
WO-000013,3,PART,PT-0184,2,,66.45
WO-000013,4,PART,PT-0011,1,,54.94
WO-000013,5,LABOR,,,14.76,1660.5
WO-000013,6,LABOR,,,18.2,2047.5
WO-000014,1,PART,PT-0184,1,,32.12
WO-000014,2,LABOR,,,2.95,206.5
WO-000015,1,PART,PT-0166,2,,301.87
WO-000015,2,LABOR,,,5.93,407.69
WO-000015,3,LABOR,,,5.0,343.75
WO-000016,1,PART,PT-0190,1,,28.04
WO-000016,2,PART,PT-0036,2,,288.41
WO-000016,3,LABOR,,,2.33,163.1
