work_order_id,equipment_unit_id
WO-000001,EQ-01742
WO-000001,EQ-01743
WO-000001,EQ-01740
WO-000001,EQ-01741
WO-000002,EQ-00823
WO-000003,EQ-00649
WO-000003,EQ-00650
WO-000004,EQ-02285
WO-000005,EQ-00566
WO-000006,EQ-02838
WO-000006,EQ-02837
WO-000006,EQ-02836
WO-000007,EQ-02599
WO-000007,EQ-02596
WO-000008,EQ-02949
WO-000008,EQ-02944
WO-000009,EQ-01196
WO-000010,EQ-01577
WO-000011,EQ-01387
WO-000011,EQ-01385
WO-000011,EQ-01382
WO-000012,EQ-03348
WO-000013,EQ-01012
WO-000013,EQ-01013
WO-000014,EQ-00999
WO-000014,EQ-01000
WO-000015,EQ-03608
WO-000016,EQ-03365
WO-000017,EQ-02841
WO-000017,EQ-02842
WO-000018,EQ-03510
WO-000019,EQ-02561
WO-000019,EQ-02565
WO-000019,EQ-02562
WO-000019,EQ-02559
WO-000020,EQ-03277
WO-000021,EQ-00222
WO-000021,EQ-00213
WO-000021,EQ-00223
WO-000021,EQ-00216
WO-000022,EQ-01361
WO-000023,EQ-00843
WO-000024,EQ-02633
WO-000024,EQ-02636
WO-000024,EQ-02635
WO-000024,EQ-02634
WO-000025,EQ-00373
WO-000025,EQ-00369
WO-000026,EQ-03369
WO-000027,EQ-00967
WO-000028,EQ-00391
WO-000028,EQ-00392
WO-000028,EQ-00390
WO-000029,EQ-01962
WO-000030,EQ-01236
WO-000030,EQ-01231
WO-000031,EQ-02554
WO-000032,EQ-01529
WO-000033,EQ-02971
WO-000033,EQ-02973
WO-000033,EQ-02974
WO-000034,EQ-02218
WO-000035,EQ-01166
WO-000036,EQ-00140
WO-000036,EQ-00138
WO-000036,EQ-00135
WO-000037,EQ-01094
WO-000037,EQ-01096
WO-000037,EQ-01095
WO-000038,EQ-03468
WO-000038,EQ-03469
WO-000039,EQ-01281
WO-000039,EQ-01274
WO-000040,EQ-02833
WO-000040,EQ-02832
WO-000041,EQ-01425
WO-000041,EQ-01426
WO-000042,EQ-03016
WO-000042,EQ-03020
WO-000043,EQ-00134
WO-000043,EQ-00132
WO-000044,EQ-00052
WO-000045,EQ-00953
WO-000046,EQ-00110
WO-000046,EQ-00112
WO-000047,EQ-02631
WO-000048,EQ-01164
WO-000049,EQ-03520
WO-000049,EQ-03521
WO-000049,EQ-03517
WO-000049,EQ-03516
WO-000050,EQ-01132
WO-000051,EQ-02351
WO-000051,EQ-02349
WO-000051,EQ-02345
WO-000052,EQ-00824
WO-000052,EQ-00823
WO-000053,EQ-01811
WO-000053,EQ-01813
WO-000053,EQ-01812
WO-000054,EQ-00667
WO-000055,EQ-02645
WO-000056,EQ-01358
WO-000057,EQ-03243
WO-000058,EQ-00128
WO-000059,EQ-02462
WO-000059,EQ-02465
WO-000059,EQ-02461
WO-000059,EQ-02463
WO-000060,EQ-01556
WO-000061,EQ-01191
WO-000062,EQ-02126
WO-000063,EQ-03105
WO-000063,EQ-03109
WO-000063,EQ-03111
WO-000063,EQ-03108
WO-000064,EQ-01470
WO-000065,EQ-00547
WO-000065,EQ-00541
WO-000066,EQ-00060
WO-000067,EQ-00379
WO-000068,EQ-01290
WO-000068,EQ-01291
WO-000069,EQ-02493
WO-000070,EQ-01758
WO-000071,EQ-01958
WO-000072,EQ-02745
WO-000073,EQ-01343
WO-000074,EQ-01742
WO-000074,EQ-01740
WO-000074,EQ-01741
WO-000074,EQ-01743
WO-000075,EQ-01842
WO-000076,EQ-03521
WO-000076,EQ-03520
WO-000076,EQ-03522
WO-000076,EQ-03516
WO-000077,EQ-02415
WO-000077,EQ-02422
WO-000078,EQ-01012
WO-000079,EQ-00846
WO-000079,EQ-00844
WO-000080,EQ-01442
WO-000081,EQ-00517
WO-000082,EQ-01621
WO-000082,EQ-01617
WO-000083,EQ-00188
WO-000083,EQ-00189
WO-000084,EQ-00427
WO-000084,EQ-00424
WO-000084,EQ-00425
WO-000084,EQ-00422
WO-000085,EQ-00575
WO-000085,EQ-00572
WO-000085,EQ-00573
WO-000085,EQ-00574
WO-000086,EQ-03351
WO-000086,EQ-03362
WO-000087,EQ-01087
WO-000087,EQ-01089
WO-000088,EQ-02496
WO-000089,EQ-01225
WO-000089,EQ-01227
WO-000089,EQ-01228
WO-000090,EQ-01598
WO-000091,EQ-03175
WO-000091,EQ-03174
WO-000092,EQ-03443
WO-000092,EQ-03434
WO-000093,EQ-02218
WO-000094,EQ-01154
WO-000094,EQ-01150
WO-000095,EQ-01483
WO-000095,EQ-01477
WO-000096,EQ-00882
WO-000097,EQ-01502
WO-000097,EQ-01503
WO-000098,EQ-02382
WO-000099,EQ-02933
WO-000100,EQ-00646
WO-000100,EQ-00647
WO-000100,EQ-00648
WO-000101,EQ-00120
WO-000102,EQ-03468
WO-000102,EQ-03469
WO-000103,EQ-00009
WO-000103,EQ-00006
WO-000103,EQ-00005
WO-000104,EQ-01974
WO-000105,EQ-00932
WO-000105,EQ-00933
WO-000105,EQ-00929
WO-000106,EQ-00062
WO-000106,EQ-00061
WO-000107,EQ-03223
WO-000107,EQ-03221
WO-000108,EQ-01128
WO-000108,EQ-01124
WO-000109,EQ-01760
WO-000109,EQ-01761
WO-000109,EQ-01762
WO-000110,EQ-00567
WO-000110,EQ-00566
WO-000111,EQ-00819
WO-000111,EQ-00817
WO-000112,EQ-01447
WO-000112,EQ-01448
WO-000112,EQ-01449
WO-000113,EQ-01881
WO-000114,EQ-02047
WO-000114,EQ-02048
WO-000114,EQ-02049
WO-000114,EQ-02050
WO-000115,EQ-00446
WO-000115,EQ-00453
WO-000115,EQ-00448
WO-000116,EQ-01901
WO-000117,EQ-01843
WO-000118,EQ-00188
WO-000119,EQ-00151
WO-000120,EQ-03088
WO-000121,EQ-01757
WO-000122,EQ-01050
WO-000123,EQ-01376
WO-000124,EQ-03345
WO-000124,EQ-03347
WO-000124,EQ-03346
WO-000125,EQ-02078
WO-000126,EQ-00713
WO-000127,EQ-01012
WO-000127,EQ-01013
WO-000128,EQ-00091
WO-000129,EQ-02178
WO-000129,EQ-02179
WO-000129,EQ-02177
WO-000130,EQ-02971
WO-000130,EQ-02973
